,h,v,r,hue,sat,lum,x,y
44,25.46754063,-11.5071375,61.265625,5.625,76.5625,46.25,800,300
45,60.90064063,111.2356625,94.765625,185.625,26.5625,86.25,900,300
46,43.18409063,-72.8785375,78.015625,95.625,1.5625,26.25,1000,300
47,7.750990625,49.8642625,44.515625,275.625,51.5625,66.25,1100,300
48,5.536421875,-65.2071125,50.796875,354.375,98.4375,88.75,1200,300
49,40.96952188,57.5356875,84.296875,174.375,48.4375,48.75,1300,300
50,58.68607188,-3.8357125,67.546875,264.375,23.4375,68.75,1400,300
51,23.25297188,118.9070875,34.046875,84.375,73.4375,28.75,1500,300
52,32.11124688,-34.5214125,92.671875,309.375,10.9375,18.75,1600,300
53,67.54434688,88.2213875,59.171875,129.375,60.9375,58.75,1700,300
54,49.82779688,-95.8928125,42.421875,219.375,85.9375,38.75,1800,300
55,14.39469688,26.8499875,75.921875,39.375,35.9375,78.75,100,400
56,9.965559375,-19.1785625,38.234375,106.875,42.1875,73.75,200,400
57,45.39865938,103.5642375,71.734375,286.875,92.1875,33.75,300,400
58,63.11520938,-80.5499625,88.484375,16.875,67.1875,53.75,400,400
59,27.68210938,42.1928375,54.984375,196.875,17.1875,13.75,500,400
60,18.82383438,-111.2356625,80.109375,151.875,54.6875,23.75,600,400
61,54.25693438,11.5071375,46.609375,331.875,4.6875,63.75,700,400
62,36.54038438,-49.8642625,63.359375,61.875,29.6875,43.75,800,400
63,1.107284375,72.8785375,96.859375,241.875,79.6875,83.75,900,400
64,1.660926563,-24.93213125,62.8359375,289.6875,21.09375,79.375,1000,400
65,37.09402656,97.81066875,96.3359375,109.6875,71.09375,39.375,1100,400
66,54.81057656,-86.30353125,79.5859375,199.6875,96.09375,59.375,1200,400
67,19.37747656,36.43926875,46.0859375,19.6875,46.09375,19.375,1300,400
68,28.23575156,-116.9892313,87.9609375,334.6875,83.59375,29.375,1400,400
69,63.66885156,5.75356875,54.4609375,154.6875,33.59375,69.375,1500,400
70,45.95230156,-55.61783125,37.7109375,244.6875,8.59375,49.375,1600,400
71,10.51920156,67.12496875,71.2109375,64.6875,58.59375,89.375,1700,400
72,14.94833906,-70.96068125,41.8984375,177.1875,64.84375,84.375,1800,400
73,50.38143906,51.78211875,75.3984375,357.1875,14.84375,44.375,100,500
74,68.09798906,-9.58928125,92.1484375,87.1875,39.84375,64.375,200,500
75,32.66488906,113.1535188,58.6484375,267.1875,89.84375,24.375,300,500
76,23.80661406,-40.27498125,67.0234375,132.1875,27.34375,14.375,400,500
77,59.23971406,82.46781875,33.5234375,312.1875,77.34375,54.375,500,500
78,41.52316406,-101.6463813,50.2734375,42.1875,52.34375,34.375,600,500
79,6.090064063,21.09641875,83.7734375,222.1875,2.34375,74.375,700,500
80,8.304632813,-93.97495625,77.4921875,233.4375,49.21875,51.875,800,500
81,43.73773281,28.76784375,43.9921875,53.4375,99.21875,11.875,900,500
82,61.45428281,-32.60355625,60.7421875,323.4375,74.21875,71.875,1000,500
83,26.02118281,90.13924375,94.2421875,143.4375,24.21875,31.875,1100,500
84,34.87945781,-1.91785625,35.6171875,188.4375,61.71875,41.875,1200,500
85,70.31255781,120.8249438,69.1171875,8.4375,11.71875,81.875,1300,500
86,52.59600781,-63.28925625,85.8671875,278.4375,36.71875,21.875,1400,500
87,17.16290781,59.45354375,52.3671875,98.4375,86.71875,61.875,1500,500
88,12.73377031,-47.94640625,98.4296875,30.9375,92.96875,66.875,1600,500
89,48.16687031,74.79639375,64.9296875,210.9375,42.96875,26.875,1700,500
90,65.88342031,-109.3178063,48.1796875,120.9375,17.96875,86.875,1800,500
91,30.45032031,13.42499375,81.6796875,300.9375,67.96875,46.875,100,600
92,21.59204531,-78.63210625,56.5546875,75.9375,5.46875,36.875,200,600
93,57.02514531,44.11069375,90.0546875,255.9375,55.46875,76.875,300,600
94,39.30859531,-17.26070625,73.3046875,165.9375,80.46875,16.875,400,600
95,3.875495313,105.4820938,39.8046875,345.9375,30.46875,56.875,500,600
96,2.768210938,-90.13924375,95.2890625,126.5625,50.78125,48.125,600,600
97,38.20131094,32.60355625,61.7890625,306.5625,0.78125,88.125,700,600
98,55.91786094,-28.76784375,45.0390625,36.5625,25.78125,28.125,800,600
99,20.48476094,93.97495625,78.5390625,216.5625,75.78125,68.125,900,600
100,29.34303594,-59.45354375,53.4140625,171.5625,38.28125,58.125,1000,600
101,64.77613594,63.28925625,86.9140625,351.5625,88.28125,18.125,1100,600
102,47.05958594,-120.8249438,70.1640625,81.5625,63.28125,78.125,1200,600
103,11.62648594,1.91785625,36.6640625,261.5625,13.28125,38.125,1300,600
104,16.05562344,-13.42499375,82.7265625,329.0625,7.03125,33.125,1400,600
105,51.48872344,109.3178063,49.2265625,149.0625,57.03125,73.125,1500,600
106,69.20527344,-74.79639375,65.9765625,239.0625,82.03125,13.125,1600,600
107,33.77217344,47.94640625,99.4765625,59.0625,32.03125,53.125,1700,600
108,24.91389844,-105.4820938,40.8515625,284.0625,94.53125,63.125,1800,600
109,60.34699844,17.26070625,74.3515625,104.0625,44.53125,23.125,100,700
110,42.63044844,-44.11069375,91.1015625,194.0625,19.53125,83.125,200,700
111,7.197348438,78.63210625,57.6015625,14.0625,69.53125,43.125,300,700
112,4.982779688,-36.43926875,47.1328125,70.3125,78.90625,20.625,400,700
113,40.41587969,86.30353125,80.6328125,250.3125,28.90625,60.625,500,700
114,58.13242969,-97.81066875,97.3828125,160.3125,3.90625,40.625,600,700
115,22.69932969,24.93213125,63.8828125,340.3125,53.90625,80.625,700,700
116,31.55760469,-67.12496875,72.2578125,25.3125,16.40625,70.625,800,700
117,66.99070469,55.61783125,38.7578125,205.3125,66.40625,30.625,900,700
118,49.27415469,-5.75356875,55.5078125,115.3125,91.40625,50.625,1000,700
119,13.84105469,116.9892313,89.0078125,295.3125,41.40625,10.625,1100,700
120,9.411917188,-113.1535188,59.6953125,182.8125,35.15625,15.625,1200,700
121,44.84501719,9.58928125,93.1953125,2.8125,85.15625,55.625,1300,700
122,62.56156719,-51.78211875,76.4453125,272.8125,60.15625,35.625,1400,700
123,27.12846719,70.96068125,42.9453125,92.8125,10.15625,75.625,1500,700
124,18.27019219,-21.09641875,84.8203125,227.8125,72.65625,85.625,1600,700
125,53.70329219,101.6463813,51.3203125,47.8125,22.65625,45.625,1700,700
126,35.98674219,-82.46781875,34.5703125,317.8125,47.65625,65.625,1800,700
127,0.553642188,40.27498125,68.0703125,137.8125,97.65625,25.625,100,800
128,0.830463281,-41.23390938,85.60546875,338.90625,46.484375,43.4375,200,800
129,36.26356328,81.50889063,52.10546875,158.90625,96.484375,83.4375,300,800
130,53.98011328,-102.6053094,35.35546875,248.90625,71.484375,23.4375,400,800
131,18.54701328,20.13749063,68.85546875,68.90625,21.484375,63.4375,500,800
132,27.40528828,-71.91960938,60.48046875,293.90625,58.984375,53.4375,600,800
133,62.83838828,50.82319063,93.98046875,113.90625,8.984375,13.4375,700,800
134,45.12183828,-10.54820938,77.23046875,203.90625,33.984375,73.4375,800,800
135,9.688738281,112.1945906,43.73046875,23.90625,83.984375,33.4375,900,800
136,14.11787578,-117.9481594,73.04296875,91.40625,90.234375,38.4375,1000,800
137,49.55097578,4.794640625,39.54296875,271.40625,40.234375,78.4375,1100,800
138,67.26752578,-56.57675938,56.29296875,1.40625,15.234375,18.4375,1200,800
139,31.83442578,66.16604063,89.79296875,181.40625,65.234375,58.4375,1300,800
140,22.97615078,-25.89105938,47.91796875,136.40625,2.734375,68.4375,1400,800
141,58.40925078,96.85174063,81.41796875,316.40625,52.734375,28.4375,1500,800
142,40.69270078,-87.26245938,98.16796875,46.40625,77.734375,88.4375,1600,800
143,5.259600781,35.48034063,64.66796875,226.40625,27.734375,48.4375,1700,800
144,7.474169531,-79.59103438,37.44921875,215.15625,24.609375,25.9375,1800,800
145,42.90726953,43.15176563,70.94921875,35.15625,74.609375,65.9375,100,900
146,60.62381953,-18.21963438,87.69921875,305.15625,99.609375,45.9375,200,900
147,25.19071953,104.5231656,54.19921875,125.15625,49.609375,85.9375,300,900
148,34.04899453,-48.90533438,79.32421875,260.15625,87.109375,75.9375,400,900
149,69.48209453,73.83746563,45.82421875,80.15625,37.109375,35.9375,500,900
150,51.76554453,-110.2767344,62.57421875,350.15625,12.109375,55.9375,600,900
151,16.33244453,12.46606563,96.07421875,170.15625,62.109375,15.9375,700,900
152,11.90330703,-2.876784375,50.01171875,57.65625,68.359375,10.9375,800,900
153,47.33640703,119.8660156,83.51171875,237.65625,18.359375,50.9375,900,900
154,65.05295703,-64.24818438,66.76171875,147.65625,43.359375,30.9375,1000,900
155,29.61985703,58.49461563,33.26171875,327.65625,93.359375,70.9375,1100,900
156,20.76158203,-94.93388438,91.88671875,12.65625,30.859375,80.9375,1200,900
157,56.19468203,27.80891563,58.38671875,192.65625,80.859375,40.9375,1300,900
158,38.47813203,-33.56248438,41.63671875,102.65625,55.859375,60.9375,1400,900
159,3.045032031,89.18031563,75.13671875,282.65625,5.859375,20.9375,1500,900
160,4.152316406,-106.4410219,55.24609375,142.03125,76.171875,74.6875,1600,900
161,39.58541641,16.30177813,88.74609375,322.03125,26.171875,34.6875,1700,900
162,57.30196641,-45.06962188,71.99609375,52.03125,1.171875,54.6875,1800,900
163,21.86886641,77.67317813,38.49609375,232.03125,51.171875,14.6875,100,1000
164,30.72714141,-14.38392188,97.12109375,97.03125,13.671875,24.6875,200,1000
165,66.16024141,108.3588781,63.62109375,277.03125,63.671875,64.6875,300,1000
166,48.44369141,-75.75532188,46.87109375,7.03125,88.671875,44.6875,400,1000
167,13.01059141,46.98747813,80.37109375,187.03125,38.671875,84.6875,500,1000
168,17.43972891,-60.41247188,34.30859375,299.53125,32.421875,89.6875,600,1000
169,52.87282891,62.33032813,67.80859375,119.53125,82.421875,49.6875,700,1000
170,70.58937891,-121.7838719,84.55859375,209.53125,57.421875,69.6875,800,1000
171,35.15627891,0.958928125,51.05859375,29.53125,7.421875,29.6875,900,1000
172,26.29800391,-91.09817188,76.18359375,344.53125,69.921875,19.6875,1000,1000
173,61.73110391,31.64462813,42.68359375,164.53125,19.921875,59.6875,1100,1000
174,44.01455391,-29.72677188,59.43359375,254.53125,44.921875,39.6875,1200,1000
175,8.581453906,93.01602813,92.93359375,74.53125,94.921875,79.6875,1300,1000
176,6.366885156,-22.05534688,69.90234375,18.28125,54.296875,57.1875,1400,1000
177,41.79998516,100.6874531,36.40234375,198.28125,4.296875,17.1875,1500,1000
178,59.51653516,-83.42674688,53.15234375,108.28125,29.296875,77.1875,1600,1000
179,24.08343516,39.31605313,86.65234375,288.28125,79.296875,37.1875,1700,1000
180,32.94171016,-114.1124469,44.77734375,63.28125,41.796875,47.1875,1800,1000
