,language,chipID,chipRow,chipColumn,term,srgbR,srgbG,srgbB
88,1,89,J,0,LB,38.9028,38.9283,38.8926
89,1,90,I,23,LB,0.14535,55.84245,59.48385
90,1,91,D,13,F,169.3863,185.2422,0.0
91,1,92,B,7,LF,245.2386,226.58025,206.01705
92,1,93,G,26,G,0.0,108.78555,142.88925
93,1,94,I,8,LB,60.1239,47.14695,33.39225
94,1,95,B,18,LF,206.70555,236.7012,218.5095
95,1,96,C,10,LE,236.0943,200.4351,0.0
96,1,97,H,32,G,80.3097,58.51485,135.1602
97,1,98,G,1,LE,186.9966,28.7691,71.34135
98,1,99,D,34,F,190.3014,166.7037,207.4629
99,1,100,C,22,F,154.0251,213.73335,203.8878
100,1,101,H,38,LE,130.08315,32.2116,88.4034
101,1,102,D,31,F,164.6739,173.63715,216.57405
102,1,103,G,11,LB,108.55605,97.95315,17.69445
103,1,104,D,27,G,118.7943,184.60215,210.96405
104,1,105,G,35,LE,135.30555,74.001,139.995
105,1,106,B,12,F,236.63235,233.9319,139.8981
106,1,107,B,34,LF,232.3611,227.64105,237.5529
107,1,108,B,21,F,203.73225,236.68845,226.62105
108,1,109,G,31,G,76.82895,89.8365,176.7099
109,1,110,D,8,LE,233.2434,161.90205,0.0
110,1,111,H,14,LB,63.6429,77.27775,37.0005
111,1,112,F,40,LE,214.76865,68.04675,107.44425
112,1,113,I,10,LB,55.54155,48.94725,31.83675
113,1,114,H,23,LB,0.0,83.3646,88.72725
114,1,115,H,1,LE,138.55935,26.6679,55.24065
115,1,116,C,27,LF,166.04325,208.9878,225.47355
116,1,117,I,6,LB,73.87095,41.2233,23.15655
117,1,118,D,38,LE,241.38299999999998,146.7882,181.65945
118,1,119,E,20,G,0.0,171.3906,137.7663
119,1,120,B,31,LF,226.74855,229.1226,239.64135
120,1,121,E,4,LE,243.1323,107.3601,47.22345
121,1,122,G,17,LB,0.0,116.0709,56.42895
122,1,123,G,25,LB,0.0,107.6508,125.4702
123,1,124,C,14,F,182.39385,215.2455,68.1513
124,1,125,E,5,LE,239.80455,111.6135,0.0
125,1,126,D,40,WK,235.42365,152.42625,162.2718
126,1,127,I,21,LB,6.85695,56.21475,51.1989
127,1,128,C,12,F,212.18805,208.18200000000002,0.0
128,1,129,B,1,LF,242.1378,225.77445,225.38175
129,1,130,H,12,LB,75.57945,74.3376,29.3046
130,1,131,H,35,WK,110.81025,45.07125,116.7492
131,1,132,G,4,LE,180.3411,48.9039,0.0
132,1,133,H,18,LB,0.0,86.3073,54.71025
133,1,134,I,5,LB,76.12005,39.4893,28.95525
134,1,135,G,37,LE,159.72435,57.3954,126.7044
135,1,136,E,23,G,0.0,166.9434,167.18055
136,1,137,H,15,LB,45.88725,81.1614,26.78265
137,1,138,D,28,G,106.5288,184.36245,228.4137
138,1,139,C,33,LF,206.71575,198.0228,225.70815
139,1,140,H,28,G,0.0,78.84855,125.09025
140,1,141,A,0,LF,243.38475,243.48675,243.3363
141,1,142,C,31,LF,194.9169,201.25875,228.61515
142,1,143,D,14,F,150.59025,189.6741,0.0
143,1,144,I,32,LB,56.59725,38.54325,95.98200000000001
144,1,145,D,20,F,72.74895,195.1056,164.2506
145,1,146,D,10,WK,206.21085,173.39745,0.0
146,1,147,E,21,G,9.1596,167.8767,147.47925
147,1,148,G,2,LE,187.0935,32.6706,51.6273
148,1,149,C,16,F,147.6552,219.912,136.34085
149,1,150,I,34,LB,72.7209,31.9056,86.64135
150,1,151,D,2,F,238.74375,152.34465,145.62795
151,1,152,D,35,F,208.5696,159.3036,209.2173
152,1,153,E,28,G,39.06855,159.02055,214.91145
153,1,154,G,0,LB,97.15755,97.2009,97.13715
154,1,155,H,9,LB,88.5819,69.6711,31.5231
155,1,156,G,20,G,0.0,116.6064,90.3618
156,1,157,H,7,LB,103.8768,63.0105,17.0595
157,1,158,B,30,LF,223.47435,230.04825,239.9703
158,1,159,C,7,WK,253.878,189.771,113.81925
159,1,160,C,39,F,247.05165,186.03525,198.28545
160,1,161,D,19,LB,80.67945,194.98575,156.26655
161,1,162,G,40,LE,184.88775,29.9115,85.935
162,1,163,G,23,LB,0.0,112.91145,118.57245
163,1,164,F,29,G,0.0,129.20085,205.12965
164,1,165,G,13,LB,93.17445,102.51,23.816999999999997
165,1,166,I,27,LB,0.0,55.1208,84.5733
166,1,167,D,33,F,183.5286,168.54225,211.25985
167,1,168,H,19,LB,0.0,88.9185,60.3381
168,1,169,F,27,G,13.8618,132.9162,172.00005
169,1,170,I,24,LB,0.0,55.45485,63.6276
170,1,171,G,14,LB,83.70885,104.652,32.5737
171,1,172,B,29,LF,221.10285,230.72655,239.9907
172,1,173,E,40,LE,232.18515,109.47915,132.38835
173,1,174,C,8,WK,255.0,188.4705,0.0
174,1,175,C,25,F,155.72595,211.89735,218.8716
175,1,176,E,2,LE,235.77555,109.5735,105.96525
176,1,177,B,13,F,227.6793,236.46915,142.1421
177,1,178,H,29,G,0.0,76.3827,140.01795
178,1,179,I,3,S,97.21365,18.79095,28.77165
179,1,180,E,18,LB,0.0,170.9826,118.50105
180,1,181,E,9,WK,186.14745,142.74645,0.0
181,1,182,I,40,LE,94.1562,18.564,53.60865
182,1,183,G,9,F,120.9873,93.06735,26.39505
183,1,184,G,34,G,125.9292,77.78775,147.7062
184,1,185,F,7,WK,173.8182,107.96955,0.2295
185,1,186,D,24,F,101.1891,189.14115,194.5905
186,1,187,D,7,LE,244.6521,155.77695,0.0
187,1,188,F,26,G,0.0,135.25455,167.68035
188,1,189,C,29,F,164.9136,206.907,245.13405
189,1,190,C,38,WK,244.26195,186.5274,204.68595
190,1,191,G,22,LB,0.0,113.42399999999999,109.85655
191,1,192,F,33,F,140.3367,108.4107,180.85365
192,1,193,D,12,F,184.8087,180.8409,0.0
193,1,194,I,2,LE,97.55535,16.625999999999998,37.66095
194,1,195,F,15,LB,74.42685,138.4395,11.1996
195,1,196,C,21,F,128.20635,218.78235,197.6658
196,1,197,E,34,F,170.3757,136.1802,191.352
197,1,198,I,12,LB,50.8572,50.3523,33.62685
198,1,199,B,17,LF,208.95465,236.4972,214.41675
199,1,200,D,26,G,109.5837,186.49935,207.5394
200,1,201,C,2,LE,252.26895,185.7267,178.7193
201,1,202,F,17,LB,0.0,146.0844,69.9567
202,1,203,F,37,LE,188.6643,85.9962,151.2864
203,1,204,I,7,LB,70.93335,43.1154,17.7582
204,1,205,G,32,G,101.9847,85.8993,159.96915
205,1,206,B,15,LF,218.8716,234.804,203.53335
206,1,207,F,38,LE,197.07165,82.0641,134.46405
207,1,208,F,8,WK,165.5715,112.5213,0.0
208,1,209,H,22,LB,0.0,83.6247,82.1967
209,1,210,I,4,LB,86.7612,31.6761,26.3925
210,1,211,E,26,G,29.2536,162.43245,193.69799999999998
211,1,212,D,6,LE,255.0,148.84605,0.0
212,1,213,D,32,F,174.69795,170.93415,214.6743
213,1,214,C,13,F,196.3857,212.69295,0.0
214,1,215,D,36,F,216.60465,156.84795,201.4347
215,1,216,H,13,LB,69.62775,75.95685,31.9464
216,1,217,C,1,F,251.0322,185.62215,185.46405
217,1,218,E,12,F,156.7128,153.6936,0.0
218,1,219,B,20,LF,204.33405,236.75475,224.34645
219,1,220,F,31,G,105.88875,118.2333,189.90615
220,1,221,B,23,LF,204.3417,235.9107,233.07255
221,1,222,G,33,G,116.35395,81.32715,153.5049
222,1,223,F,20,LB,0.0,143.8506,113.8524
223,1,224,B,37,LF,238.4148,226.34055,231.7338
224,1,225,F,11,WK,137.36085,124.01415,0.0
225,1,226,H,25,LB,0.0,81.9621,101.337
226,1,227,I,14,LB,46.0887,51.43605,37.6533
227,1,228,I,28,LB,0.0,53.74635,86.79435
228,1,229,C,19,F,133.67355,219.02205,184.7985
229,1,230,B,2,LF,242.94105,225.7107,223.37235
230,1,231,F,35,WK,162.1137,100.8933,165.58425
231,1,232,G,10,LB,114.99225,95.574,20.93295
232,1,233,E,31,G,135.4509,146.03085,203.0973
233,1,234,G,18,LB,0.0,116.5044,72.08595
234,1,235,G,30,G,6.68355,98.24895,177.99765
235,1,236,E,13,F,143.3967,157.4523,0.0
236,1,237,C,5,WK,251.532,188.26395,153.1785
237,1,238,F,23,LB,0.0,139.65075,142.3461
238,1,239,D,39,LE,232.7283,152.7858,171.59715
239,1,240,H,5,LB,120.91845,51.65535,14.29785
240,1,241,B,35,LF,235.52565,226.9347,234.89325
241,1,242,B,11,F,242.35455,232.13925,140.0154
242,1,243,I,39,LE,92.08305,20.0277,59.6343
243,1,244,B,26,LF,211.293,233.54175,238.8279
244,1,245,G,3,LE,185.21415,38.913000000000004,32.5992
245,1,246,E,22,LB,0.0,167.52225,158.2581
246,1,247,F,32,LB,126.14595,112.74825,186.40755
247,1,248,I,15,LB,34.19295,54.77145,26.2854
248,1,249,H,21,LB,0.0,83.89245,74.6844
249,1,250,I,33,G,66.5652,34.7769,90.8106
250,1,251,C,17,F,127.25265,222.0795,155.95035
251,1,252,B,39,LF,240.7047,225.96315,228.1842
252,1,253,D,21,F,64.9128,195.10305,172.0383
253,1,254,D,30,G,140.505,177.5616,232.09845
254,1,255,I,9,LB,57.74985,48.1389,32.11725
255,1,256,E,1,LE,234.56175,109.1451,119.39355
256,1,257,H,27,LB,0.0,79.10865,109.8234
257,1,258,D,11,WK,195.17445,177.4341,0.0
258,1,259,H,4,LE,135.18315,36.56955,16.58775
259,1,260,B,14,F,222.8037,236.07135,172.0995
260,1,261,E,6,LE,218.19075,126.0873,21.02475
261,1,262,B,33,LF,230.97645,227.94705,238.69785
262,1,263,E,0,F,148.9557,149.0169,148.9251
263,1,264,C,28,F,173.19855,207.08805,227.6742
264,1,265,H,17,LB,0.0,86.0013,44.96415
265,1,266,G,5,LE,157.4064,72.4455,15.44535
266,1,267,I,38,WK,89.73195,21.58065,65.44575
267,1,268,D,17,LB,73.08555,197.87745,122.60145
268,1,269,F,36,LE,179.8311,90.1374,163.7559
269,1,270,E,7,LE,209.202,131.6769,0.0
270,1,271,I,19,LB,0.0,58.9305,42.55695
271,1,272,B,28,LF,216.94635,231.9123,239.8122
272,1,273,E,35,F,189.40125,127.5204,192.08385
273,1,274,B,0,LF,229.347,229.42095,229.27815
274,1,275,E,11,WK,166.28805,150.55965,0.0
275,1,276,G,38,LE,166.96635,52.9839,111.91695
276,1,277,H,26,LB,0.0,80.6616,106.2891
277,1,278,D,4,LE,250.9149,148.43295,108.73965
278,1,279,H,31,G,56.09235,62.3526,151.06965
279,1,280,F,14,F,105.111,132.7479,23.51355
280,1,281,G,21,LB,0.0,113.6994,99.5418
281,1,282,E,16,F,50.9031,171.1254,52.8513
282,1,283,H,6,LB,108.45915,60.1086,24.61515
283,1,284,B,24,LF,205.8054,235.33185,235.18395
284,1,285,C,37,F,239.4756,187.578,213.0423
285,1,286,B,32,LF,229.35975,228.42645,238.8228
286,1,287,F,9,WK,153.66555,117.5805,13.719000000000001
287,1,288,F,3,LE,216.94635,71.80035,53.87385
288,1,289,D,23,LB,100.65105,189.9444,187.4148
289,1,290,B,6,LF,245.7792,225.99885,210.41835
290,1,291,F,30,G,52.85385,124.80975,205.73655
291,1,292,C,40,WK,249.2013,185.81085,191.5356
292,1,293,B,19,F,205.14495,236.8032,221.6715
293,1,294,B,27,LF,214.6488,232.5855,239.37615
294,1,295,G,8,WK,127.02825,90.2343,32.7369
295,1,296,H,33,G,94.3092,53.22105,128.775
296,1,297,C,9,LE,253.8372,193.51695,0.0
297,1,298,F,2,LE,217.65015,69.0744,74.36565
298,1,299,F,19,LB,0.0,143.80725,104.78715
299,1,300,D,0,F,175.3278,175.38135,175.2717
300,1,301,F,21,LB,0.0,143.91945,123.8637
301,1,302,B,3,LF,243.9228,225.6036,221.13345
302,1,303,C,30,F,175.542,204.20655,246.65895
303,1,304,F,13,LB,118.0446,129.79755,0.8262
304,1,305,I,37,LB,86.41185,23.83485,71.6142
305,1,306,C,15,F,156.52155,220.1211,94.0236
306,1,307,F,25,G,0.0,137.3685,160.03545
307,1,308,E,33,F,161.3181,138.79905,196.7784
308,1,309,H,11,LB,80.1363,72.88155,28.98075
309,1,310,E,19,G,0.0,171.2019,128.6271
310,1,311,G,27,G,0.0,106.48035,147.1044
311,1,312,I,0,LB,49.4445,49.47,49.43175
312,1,313,I,31,G,39.7749,39.92025,112.03935
313,1,314,B,38,LF,239.73825,226.11615,229.7703
314,1,315,D,16,F,105.3813,195.5442,96.16815
315,1,316,F,22,G,0.0,140.16585,133.77555
316,1,317,H,37,LE,124.9092,35.88105,99.27405
317,1,318,D,5,LE,246.75075,151.7097,95.0436
318,1,319,B,36,LF,237.00975,226.6236,233.35305
319,1,320,F,12,S,129.2391,126.66615,0.0
320,1,321,F,1,LE,216.8061,67.82235,92.63385
321,1,322,D,29,G,125.45235,180.82305,230.9229
322,1,323,H,20,LB,0.0,86.54700000000001,68.1309
323,1,324,B,4,LF,244.61895,225.59085,218.892
324,1,325,H,36,LE,117.60345,40.80765,109.956
325,1,326,D,9,WK,218.5809,168.27705,0.0
326,1,327,B,25,LF,208.3911,234.4368,237.5019
327,1,328,H,16,LB,33.303000000000004,82.41345,38.5152
328,1,329,G,7,WK,138.4344,84.9558,13.77
329,1,330,B,22,LF,203.8674,236.3799,229.5
330,2,1,E,29,IT,78.57825,154.92015,217.9842
331,2,2,C,23,YN,154.2138,213.16215,209.42385
332,2,3,F,4,NR,219.04245,71.68815,0.0
333,2,4,I,36,TK,73.7664,35.22825,70.8339
334,2,5,C,20,IT,130.28205,218.97615,191.75745
335,2,6,C,6,EP,247.5489,190.59465,144.9879
336,2,7,E,15,YN,90.8871,167.7543,0.0
337,2,8,H,40,NR,136.99365,27.0453,66.23625
338,2,9,G,6,AT,144.14895,81.3144,27.2085
339,2,10,I,30,TK,0.0,49.1589,102.71655
340,2,11,I,22,YN,2.6469,56.049,55.896
341,2,12,C,11,AA,222.7017,204.76755,0.0
342,2,13,I,18,YN,0.0,58.90755,37.9797
343,2,14,I,26,TK,3.79185,54.3609,69.66855
344,2,15,C,35,EP,226.7715,190.9899,226.2615
345,2,16,C,0,EP,202.0212,202.0926,201.9549
346,2,17,E,3,NR,235.4517,111.3075,88.8777
347,2,18,I,11,TK,53.1216,49.71735,32.4564
348,2,19,E,27,IT,59.1498,159.8799,198.4002
349,2,20,F,16,YN,0.0,143.81235,23.50845
350,2,21,E,39,NR,228.47745,110.51700000000001,146.03595
351,2,22,B,10,EP,248.7831,229.95135,141.678
352,2,23,F,34,TK,150.95745,104.90445,174.47355
353,2,24,H,10,*,84.4407,71.3337,29.74065
354,2,25,G,24,IT,0.0,108.73965,119.82705
355,2,26,H,30,TK,0.0,72.6495,140.6988
356,2,27,B,5,EP,245.7282,225.58575,215.0313
357,2,28,E,38,NR,212.0223,120.41865,156.4017
358,2,29,D,18,YN,88.54875,194.78175,147.7062
359,2,30,F,6,NR,186.915,100.266,0.0
360,2,31,C,24,IT,154.16025,212.66235,214.50345
361,2,32,E,36,NR,198.0942,124.6236,182.20005
362,2,33,D,15,YN,129.32325,192.6372,70.9002
363,2,34,F,28,TK,0.0,132.1461,188.4297
364,2,35,D,3,NR,252.95235,146.0283,124.3023
365,2,36,I,20,TK,0.0,58.9152,47.0577
366,2,37,E,30,IT,102.43095,151.07475,218.6778
367,2,38,G,39,NR,171.1662,50.64555,99.18225
368,2,39,G,16,YN,36.44715,111.5268,41.64915
369,2,40,E,25,IT,0.0,164.7096,185.67315
370,2,41,H,3,NR,147.8643,6.6555,22.19265
371,2,42,E,10,AA,175.9245,147.0024,0.0
372,2,43,I,29,TK,0.10455,51.6069,88.54365
373,2,44,B,40,EP,241.38299999999998,225.88665,226.74345
374,2,45,E,17,YN,33.3948,170.3553,100.1334
375,2,46,F,0,EP,122.85645,122.89215,122.80799999999999
376,2,47,I,17,YN,22.51905,55.8654,38.0562
377,2,48,E,8,AA,199.31055,137.0523,0.0
378,2,49,D,25,IT,103.428,188.1135,201.26895
379,2,50,I,35,TK,70.3239,36.72,74.18715
380,2,51,H,8,EP,99.02925,65.7288,7.9611
381,2,52,B,16,EP,213.34575,235.8393,208.8603
382,2,53,H,39,NR,133.6812,29.7126,77.8362
383,2,54,G,15,YN,58.1553,109.6194,19.8849
384,2,55,E,24,IT,0.0,165.92595,177.0108
385,2,56,C,4,EP,253.59495,186.6855,161.38695
386,2,57,H,24,YN,0.0,82.7475,95.64795
387,2,58,F,10,AA,145.80135,120.87765,0.0
388,2,59,C,34,EP,210.93345,196.9518,223.23465
389,2,60,I,25,TK,0.0,55.01625,66.75135
390,2,61,H,2,NR,138.7863,28.45545,43.04145
391,2,62,E,32,IT,149.5677,142.2543,200.4198
392,2,63,D,1,NR,237.3387,152.27325,154.02
393,2,64,G,29,TK,0.0,101.95155,164.1741
394,2,65,F,39,NR,211.446,69.3192,122.5989
395,2,66,B,8,EP,243.18075,227.6079,202.05435
396,2,67,C,18,YN,137.92695,218.8818,177.77835
397,2,68,E,37,NR,205.1067,122.50965,170.5593
398,2,69,G,12,AT,101.9694,100.09515,17.59245
399,2,70,C,32,EP,201.16185,199.58595,227.1183
400,2,71,I,1,NR,96.2115,17.05185,46.2672
401,2,72,G,19,YN,0.0,116.56305,81.6255
402,2,73,H,34,NR,103.1322,49.13085,123.21855
403,2,74,C,26,EP,160.80555,210.3852,223.16325
404,2,75,I,16,YN,28.2846,55.437,32.3493
405,2,76,F,5,NR,201.17715,89.78295,0.0
406,2,77,F,24,IT,0.0,138.6792,152.19675
407,2,78,C,36,EP,233.46015,189.0927,220.69995
408,2,79,H,0,TK,72.39705,72.4149,72.36135
409,2,80,G,28,IT,0.0,105.67965,162.10605
410,2,81,E,14,YN,127.3011,161.19825,0.0
411,2,82,D,22,IT,56.46465,194.77665,182.47799999999998
412,2,83,B,9,EP,249.56085,227.7864,172.4514
413,2,84,C,3,NR,253.75305,185.81085,170.60775
414,2,85,F,18,YN,0.0,143.61345,94.74015
415,2,86,D,37,NR,234.6153,148.53495,196.42905
416,2,87,I,13,TK,48.1746,51.0051,35.6439
417,2,88,G,36,NR,151.21755,62.46735,138.55425
418,2,89,J,0,TK,38.9028,38.9283,38.8926
419,2,90,I,23,YN,0.14535,55.84245,59.48385
420,2,91,D,13,AA,169.3863,185.2422,0.0
421,2,92,B,7,EP,245.2386,226.58025,206.01705
422,2,93,G,26,IT,0.0,108.78555,142.88925
423,2,94,I,8,TK,60.1239,47.14695,33.39225
424,2,95,B,18,EP,206.70555,236.7012,218.5095
425,2,96,C,10,AA,236.0943,200.4351,0.0
426,2,97,H,32,TK,80.3097,58.51485,135.1602
427,2,98,G,1,NR,186.9966,28.7691,71.34135
428,2,99,D,34,EP,190.3014,166.7037,207.4629
429,2,100,C,22,YN,154.0251,213.73335,203.8878
430,2,101,H,38,NR,130.08315,32.2116,88.4034
431,2,102,D,31,EP,164.6739,173.63715,216.57405
432,2,103,G,11,TK,108.55605,97.95315,17.69445
433,2,104,D,27,IT,118.7943,184.60215,210.96405
434,2,105,G,35,NR,135.30555,74.001,139.995
435,2,106,B,12,AA,236.63235,233.9319,139.8981
436,2,107,B,34,EP,232.3611,227.64105,237.5529
437,2,108,B,21,EP,203.73225,236.68845,226.62105
438,2,109,G,31,TK,76.82895,89.8365,176.7099
439,2,110,D,8,AA,233.2434,161.90205,0.0
440,2,111,H,14,TK,63.6429,77.27775,37.0005
441,2,112,F,40,NR,214.76865,68.04675,107.44425
442,2,113,I,10,TK,55.54155,48.94725,31.83675
443,2,114,H,23,YN,0.0,83.3646,88.72725
444,2,115,H,1,NR,138.55935,26.6679,55.24065
445,2,116,C,27,EP,166.04325,208.9878,225.47355
446,2,117,I,6,TK,73.87095,41.2233,23.15655
447,2,118,D,38,NR,241.38299999999998,146.7882,181.65945
448,2,119,E,20,YN,0.0,171.3906,137.7663
449,2,120,B,31,EP,226.74855,229.1226,239.64135
450,2,121,E,4,NR,243.1323,107.3601,47.22345
451,2,122,G,17,YN,0.0,116.0709,56.42895
452,2,123,G,25,TK,0.0,107.6508,125.4702
453,2,124,C,14,AA,182.39385,215.2455,68.1513
454,2,125,E,5,NR,239.80455,111.6135,0.0
455,2,126,D,40,NR,235.42365,152.42625,162.2718
456,2,127,I,21,TK,6.85695,56.21475,51.1989
457,2,128,C,12,AA,212.18805,208.18200000000002,0.0
458,2,129,B,1,EP,242.1378,225.77445,225.38175
459,2,130,H,12,TK,75.57945,74.3376,29.3046
460,2,131,H,35,NR,110.81025,45.07125,116.7492
461,2,132,G,4,NR,180.3411,48.9039,0.0
462,2,133,H,18,YN,0.0,86.3073,54.71025
463,2,134,I,5,TK,76.12005,39.4893,28.95525
464,2,135,G,37,NR,159.72435,57.3954,126.7044
465,2,136,E,23,YN,0.0,166.9434,167.18055
466,2,137,H,15,YN,45.88725,81.1614,26.78265
467,2,138,D,28,IT,106.5288,184.36245,228.4137
468,2,139,C,33,EP,206.71575,198.0228,225.70815
469,2,140,H,28,IT,0.0,78.84855,125.09025
470,2,141,A,0,EP,243.38475,243.48675,243.3363
471,2,142,C,31,EP,194.9169,201.25875,228.61515
472,2,143,D,14,YN,150.59025,189.6741,0.0
473,2,144,I,32,TK,56.59725,38.54325,95.98200000000001
474,2,145,D,20,YN,72.74895,195.1056,164.2506
475,2,146,D,10,AA,206.21085,173.39745,0.0
476,2,147,E,21,YN,9.1596,167.8767,147.47925
477,2,148,G,2,NR,187.0935,32.6706,51.6273
478,2,149,C,16,YN,147.6552,219.912,136.34085
479,2,150,I,34,TK,72.7209,31.9056,86.64135
480,2,151,D,2,NR,238.74375,152.34465,145.62795
481,2,152,D,35,EP,208.5696,159.3036,209.2173
482,2,153,E,28,IT,39.06855,159.02055,214.91145
483,2,154,G,0,TK,97.15755,97.2009,97.13715
484,2,155,H,9,TK,88.5819,69.6711,31.5231
485,2,156,G,20,YN,0.0,116.6064,90.3618
486,2,157,H,7,KA,103.8768,63.0105,17.0595
487,2,158,B,30,EP,223.47435,230.04825,239.9703
488,2,159,C,7,AA,253.878,189.771,113.81925
489,2,160,C,39,NR,247.05165,186.03525,198.28545
490,2,161,D,19,YN,80.67945,194.98575,156.26655
491,2,162,G,40,NR,184.88775,29.9115,85.935
492,2,163,G,23,YN,0.0,112.91145,118.57245
493,2,164,F,29,TK,0.0,129.20085,205.12965
494,2,165,G,13,TK,93.17445,102.51,23.816999999999997
495,2,166,I,27,TK,0.0,55.1208,84.5733
496,2,167,D,33,EP,183.5286,168.54225,211.25985
497,2,168,H,19,YN,0.0,88.9185,60.3381
498,2,169,F,27,IT,13.8618,132.9162,172.00005
499,2,170,I,24,TK,0.0,55.45485,63.6276
500,2,171,G,14,YN,83.70885,104.652,32.5737
501,2,172,B,29,EP,221.10285,230.72655,239.9907
502,2,173,E,40,NR,232.18515,109.47915,132.38835
503,2,174,C,8,AA,255.0,188.4705,0.0
504,2,175,C,25,YN,155.72595,211.89735,218.8716
505,2,176,E,2,NR,235.77555,109.5735,105.96525
